round,Nq1,Nq2,N1,N2,W1,W2,X1,X2,T1,T2
1, 0.000000, 0.000000, 0.098342, 0.063178, 0.000000, -0.000000, 1.272831, 0.136497, 1.272831, 0.136497
2, 0.000000, 0.000000, 0.155891, 0.027238, 0.000000, 0.000000, 0.569969, 0.099587, 0.569969, 0.099587
3, 0.000000, 0.000000, 0.505171, 0.494829, 0.000000, 0.000000, 2.154029, 0.000000, 2.154029, 0.000000
4, 0.000000, 0.015326, 0.015053, 0.029915, 0.000000, 0.015862, 0.875947, 0.833072, 0.875947, 0.848934
5, 0.000000, 0.000000, 0.224361, 0.555050, 0.000000, 0.000000, 0.651386, 1.611471, 0.651386, 1.611471
6, 0.000000, 0.000000, 0.046427, 0.062987, 0.000000, 0.000000, 0.737055, 0.999945, 0.737055, 0.999945
7, 0.000000, 0.000000, 0.003763, 0.002581, 0.000000, 0.000000, 0.408194, 0.279977, 0.408194, 0.279977
8, 0.000000, 0.000000, 0.003951, 0.014154, 0.000000, 0.000000, 0.177750, 0.636696, 0.177750, 0.636696
9, 0.000000, 0.000000, 0.057544, 0.102851, 0.000000, -0.000000, 0.906034, 1.619400, 0.906034, 1.619400
10, 0.000000, 0.000000, 0.298392, 0.272673, 0.000000, 0.000000, 0.950186, 0.868286, 0.950186, 0.868286
11, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
12, 0.659551, 0.340449, 1.659551, 0.340449, 1.834856, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
13, 0.039395, 0.120296, 0.083939, 0.179049, 1.425094, 1.775549, 0.186279, 0.349829, 1.611373, 2.125378
14, 0.000000, 0.000000, 0.041366, 0.019507, 0.000000, 0.000000, 1.703296, 0.803239, 1.703296, 0.803239
15, 0.000000, 0.000000, 0.050706, 0.006172, 0.000000, 0.000000, 1.062233, 0.129295, 1.062233, 0.129295
16, 0.000000, 0.000000, 0.044645, 0.047145, 0.000000, -0.000000, 1.082993, 1.143617, 1.082993, 1.143617
17, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
18, 0.643698, 0.356302, 1.549616, 0.450384, 1.608855, 0.000000, 0.655392, 0.000000, 2.264248, 0.000000
19, 0.000000, 0.209253, 0.070719, 0.306881, 0.000000, 1.018395, 1.098353, 0.497886, 1.098353, 1.516282
20, 0.000000, 0.000000, 0.001750, 0.004810, 0.000000, 0.000000, 0.296863, 0.815749, 0.296863, 0.815749
21, 0.000000, 0.000000, 0.018475, 0.022360, 0.000000, 0.000000, 1.770779, 2.143152, 1.770779, 2.143152
22, 0.000000, 0.000000, 0.010925, 0.008789, 0.000000, -0.000000, 0.377861, 0.303984, 0.377861, 0.303984
23, 0.000000, 0.000000, 0.367221, 0.008360, 0.000000, 0.000000, 2.984506, 0.067946, 2.984506, 0.067946
24, 0.000000, 0.000000, 0.093039, 0.259047, 0.000000, -0.000000, 0.146312, 0.407374, 0.146312, 0.407374
25, 0.000000, 0.000000, 0.265200, 0.680630, 0.000000, -0.000000, 0.766210, 1.966461, 0.766210, 1.966461
26, 0.000000, 0.000000, 0.024326, 0.007486, 0.000000, -0.000000, 0.229940, 0.070759, 0.229940, 0.070759
27, 0.000000, 0.000000, 0.041625, 0.028339, 0.000000, -0.000000, 0.932155, 0.634639, 0.932155, 0.634639
28, 0.000000, 0.000000, 0.090301, 0.214783, 0.000000, -0.000000, 0.717522, 1.706641, 0.717522, 1.706641
29, 0.000000, 0.000000, 0.027703, 0.032581, 0.000000, -0.000000, 0.401050, 0.471666, 0.401050, 0.471666
30, 0.000000, 0.000000, 0.040704, 0.053474, 0.000000, -0.000000, 0.910657, 1.196351, 0.910657, 1.196351
31, 0.000000, 0.000000, 0.017379, 0.055558, 0.000000, -0.000000, 0.688471, 2.200894, 0.688471, 2.200894
32, 0.000000, 0.000000, 0.023442, 0.011927, 0.000000, 0.000000, 1.041743, 0.530030, 1.041743, 0.530030
33, 0.000000, 0.000000, 0.022422, 0.007400, 0.000000, 0.000000, 0.312263, 0.103057, 0.312263, 0.103057
34, 0.000000, 0.000000, 0.014247, 0.000171, 0.000000, 0.000000, 0.288522, 0.003461, 0.288522, 0.003461
35, 0.000000, 0.000000, 0.636500, 0.347960, 0.000000, 0.000000, 1.422145, 0.777453, 1.422145, 0.777453
36, 0.000000, 0.000000, 0.010600, 0.053587, 0.000000, 0.000000, 0.102928, 0.520362, 0.102928, 0.520362
