round,Nq1,Nq2,N1,N2,W1,W2,X1,X2,T1,T2,VarW1,VarW2
1, 0.000, 0.000, 0.048, 0.263, 0.000, 0.000, 0.094, 0.368, 0.094, 0.368, -nan, -nan
2, 0.000, 0.000, 0.097, 0.184, 0.000, 0.000, 0.250, 0.472, 0.250, 0.472, -nan, -nan
3, 0.000, 0.000, 0.154, 0.208, 0.000, -0.000, 0.380, 0.515, 0.380, 0.515, -nan, -nan
4, 0.000, 0.000, 0.675, 0.325, 0.000, 0.000, 1.068, 0.000, 1.068, 0.000, -nan, 0.000
5, 0.000, 0.152, 0.046, 1.106, 0.000, 0.000, 0.106, 0.000, 0.106, 0.000, -nan, 0.000
6, 0.000, 1.000, 1.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
7, 0.097, 1.903, 0.908, 2.092, 0.181, 0.000, 1.329, 0.000, 1.510, 0.000, -nan, 0.000
8, 0.000, 3.000, 1.000, 3.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
9, 1.000, 3.000, 2.000, 3.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
10, 1.234, 3.766, 2.234, 3.766, 0.287, 0.000, 0.000, 0.000, 0.000, 0.000, inf, 0.000
11, 0.052, 5.488, 0.411, 6.128, 0.275, 0.000, 1.642, 0.000, 1.917, 0.000, -nan, 0.000
12, 0.000, 5.000, 1.000, 5.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
13, 0.096, 5.904, 1.096, 5.904, 0.189, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
14, 1.000, 6.000, 2.000, 6.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
15, 0.127, 6.280, 0.285, 7.122, 0.899, 0.000, 0.244, 0.000, 1.143, 0.000, inf, 0.000
16, 0.000, 1.594, 0.141, 2.453, 0.000, 0.000, 0.907, 0.000, 0.907, 0.000, -nan, 0.000
17, 0.000, 0.991, 0.073, 1.918, 0.000, 0.000, 0.169, 0.000, 0.169, 0.000, -nan, 0.000
18, 0.000, 0.043, 0.011, 0.438, 0.000, 0.261, 0.085, 2.933, 0.085, 3.194, -nan, inf
19, 0.000, 0.000, 0.332, 0.527, 0.000, 0.000, 0.611, 0.969, 0.611, 0.969, -nan, -nan
20, 0.000, 0.000, 0.386, 0.190, 0.000, -0.000, 1.462, 0.718, 1.462, 0.718, -nan, -nan
21, 0.000, 0.000, 0.106, 0.691, 0.000, -0.000, 0.165, 1.073, 0.165, 1.073, -nan, -nan
22, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
23, 0.077, 0.173, 0.245, 0.683, 0.455, 0.484, 0.540, 2.537, 0.995, 3.021, -nan, inf
24, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
25, 1.000, 0.000, 2.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
26, 1.020, 0.980, 2.020, 0.980, 3.253, 0.000, 0.000, 0.000, 0.000, 0.000, inf, 0.000
27, 0.797, 2.203, 1.797, 2.203, 1.516, 0.000, 0.000, 0.000, 0.000, 0.000, inf, 0.000
28, 0.001, 2.306, 0.027, 3.280, 0.004, 0.000, 0.077, 0.000, 0.081, 0.000, -nan, 0.000
29, 0.000, 0.251, 0.191, 0.611, 0.000, 0.183, 0.584, 0.914, 0.584, 1.097, -nan, inf
30, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
31, 0.076, 0.487, 0.480, 1.082, 0.205, 0.000, 0.893, 0.000, 1.098, 0.000, -nan, 0.000
32, 0.000, 0.125, 0.043, 0.332, 0.000, 0.396, 0.207, 0.596, 0.207, 0.992, -nan, inf
33, 0.000, 0.000, 0.022, 0.158, 0.000, -0.000, 0.119, 0.846, 0.119, 0.846, -nan, -nan
34, 0.000, 0.000, 0.160, 0.052, 0.000, -0.000, 1.457, 0.477, 1.457, 0.477, -nan, -nan
35, 0.000, 0.000, 0.329, 0.671, 0.000, 0.000, 1.363, 0.000, 1.363, 0.000, -nan, 0.000
36, 0.000, 0.541, 0.038, 1.392, 0.000, 3.644, 0.273, 2.526, 0.273, 6.170, -nan, inf
37, 0.000, 0.000, 0.179, 0.011, 0.000, -0.000, 1.382, 0.084, 1.382, 0.084, -nan, -nan
38, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
39, 0.007, 0.088, 0.096, 0.137, 0.065, 0.061, 0.723, 0.375, 0.788, 0.436, -nan, inf
40, 0.000, 0.000, 0.202, 0.798, 0.000, 0.000, 0.855, 0.000, 0.855, 0.000, -nan, 0.000
41, 0.000, 0.184, 0.051, 0.396, 0.000, 0.836, 0.319, 0.495, 0.319, 1.331, -nan, inf
42, 0.000, 0.000, 0.263, 0.145, 0.000, -0.000, 1.662, 0.918, 1.662, 0.918, -nan, -nan
43, 0.000, 0.000, 0.010, 0.252, 0.000, 0.000, 0.044, 1.168, 0.044, 1.168, -nan, -nan
44, 0.000, 0.000, 0.028, 0.972, 0.000, 0.000, 0.115, 0.000, 0.115, 0.000, -nan, 0.000
45, 0.000, 1.000, 0.174, 1.826, 0.000, 0.000, 0.184, 0.000, 0.184, 0.000, -nan, 0.000
46, 0.000, 2.000, 1.000, 2.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
47, 1.000, 2.000, 2.000, 2.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
48, 0.386, 1.701, 0.655, 2.200, 3.407, 5.172, 0.494, 2.055, 3.901, 7.227, inf, inf
49, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
50, 0.010, 0.249, 0.160, 0.427, 0.072, 0.786, 1.025, 0.517, 1.097, 1.303, -nan, inf
51, 0.000, 0.000, 0.023, 0.543, 0.000, -0.000, 0.024, 0.574, 0.024, 0.574, -nan, -nan
52, 0.000, 0.000, 0.892, 0.108, 0.000, 0.000, 1.711, 0.000, 1.711, 0.000, -nan, 0.000
53, 0.000, 0.081, 0.054, 0.235, 0.000, 0.241, 0.477, 1.121, 0.477, 1.362, -nan, inf
54, 0.000, 0.000, 0.025, 0.302, 0.000, 0.000, 0.141, 1.703, 0.141, 1.703, -nan, -nan
55, 0.000, 0.000, 0.086, 0.491, 0.000, 0.000, 0.359, 2.044, 0.359, 2.044, -nan, -nan
56, 0.000, 0.000, 0.293, 0.707, 0.000, 0.000, 0.569, 0.000, 0.569, 0.000, -nan, 0.000
57, 0.000, 1.000, 0.721, 1.279, 0.000, 0.000, 0.400, 0.000, 0.400, 0.000, -nan, 0.000
58, 0.000, 2.000, 0.494, 2.506, 0.000, 0.000, 0.248, 0.000, 0.248, 0.000, -nan, 0.000
59, 0.000, 3.000, 0.384, 3.616, 0.000, 0.000, 0.184, 0.000, 0.184, 0.000, -nan, 0.000
60, 0.000, 4.000, 1.000, 4.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
61, 0.718, 4.282, 1.718, 4.282, 0.961, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
62, 0.001, 1.388, 0.038, 1.822, 0.007, 1.923, 0.269, 1.329, 0.275, 3.251, -nan, inf
63, 0.000, 0.000, 0.104, 0.083, 0.000, -0.000, 1.019, 0.816, 1.019, 0.816, -nan, -nan
64, 0.000, 0.000, 0.139, 0.064, 0.000, 0.000, 0.227, 0.104, 0.227, 0.104, -nan, -nan
65, 0.000, 0.000, 0.095, 0.054, 0.000, -0.000, 0.185, 0.104, 0.185, 0.104, -nan, -nan
66, 0.000, 0.000, 0.166, 0.142, 0.000, 0.000, 0.967, 0.823, 0.967, 0.823, -nan, -nan
67, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
68, 0.261, 0.739, 1.261, 0.739, 1.996, 0.000, 0.000, 0.000, 0.000, 0.000, inf, 0.000
69, 1.000, 1.000, 2.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
70, 1.406, 1.594, 2.406, 1.594, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
71, 0.240, 3.080, 0.718, 3.602, 0.869, 0.000, 1.801, 0.000, 2.671, 0.000, inf, 0.000
72, 0.000, 2.579, 0.470, 3.110, 0.000, 0.000, 0.253, 0.000, 0.253, 0.000, -nan, 0.000
73, 0.000, 3.000, 1.000, 3.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
74, 0.122, 2.179, 0.250, 3.051, 0.474, 0.000, 0.025, 0.000, 0.499, 0.000, -nan, 0.000
75, 0.000, 0.170, 0.160, 0.529, 0.000, 0.071, 1.143, 2.501, 1.143, 2.572, -nan, inf
76, 0.000, 0.000, 0.314, 0.038, 0.000, 0.000, 1.155, 0.141, 1.155, 0.141, -nan, -nan
77, 0.000, 0.000, 0.013, 0.146, 0.000, -0.000, 0.116, 1.305, 0.116, 1.305, -nan, -nan
78, 0.000, 0.000, 0.433, 0.282, 0.000, -0.000, 1.247, 0.810, 1.247, 0.810, -nan, -nan
79, 0.000, 0.000, 0.027, 0.023, 0.000, 0.000, 0.243, 0.204, 0.243, 0.204, -nan, -nan
80, 0.000, 0.000, 0.127, 0.150, 0.000, -0.000, 0.496, 0.586, 0.496, 0.586, -nan, -nan
81, 0.000, 0.000, 0.873, 0.127, 0.000, 0.000, 0.378, 0.000, 0.378, 0.000, -nan, 0.000
82, 0.000, 0.757, 0.491, 1.220, 0.000, 0.788, 1.457, 0.582, 1.457, 1.371, -nan, inf
83, 0.000, 0.000, 0.010, 0.167, 0.000, -0.000, 0.166, 2.841, 0.166, 2.841, -nan, -nan
84, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
85, 0.314, 0.501, 0.769, 1.046, 1.318, 0.000, 0.590, 0.000, 1.908, 0.000, inf, 0.000
86, 0.000, 0.563, 0.390, 0.973, 0.000, 0.446, 1.007, 0.610, 1.007, 1.056, -nan, inf
87, 0.000, 0.000, 0.167, 0.087, 0.000, 0.000, 0.571, 0.298, 0.571, 0.298, -nan, -nan
88, 0.000, 0.000, 0.194, 0.162, 0.000, 0.000, 0.573, 0.479, 0.573, 0.479, -nan, -nan
89, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
90, 0.210, 0.378, 0.474, 0.932, 1.232, 1.900, 0.316, 1.348, 1.548, 3.249, inf, inf
91, 0.000, 0.000, 0.089, 0.911, 0.000, 0.000, 0.039, 0.000, 0.039, 0.000, -nan, 0.000
92, 0.000, 1.000, 0.412, 1.588, 0.000, 0.000, 0.473, 0.000, 0.473, 0.000, -nan, 0.000
93, 0.000, 0.370, 0.021, 0.802, 0.000, 1.110, 0.136, 1.673, 0.136, 2.783, -nan, inf
94, 0.000, 0.000, 0.051, 0.228, 0.000, -0.000, 0.743, 3.347, 0.743, 3.347, -nan, -nan
95, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
96, 0.023, 0.417, 0.202, 0.710, 0.049, 0.568, 0.342, 0.069, 0.391, 0.637, -nan, inf
97, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
98, 1.000, 0.000, 2.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
