clients,rounds,precision_ok,factor,tempo
100,100,Nao Ok,30000,0.2218
100,200,Nao Ok,40000,0.2704
100,300,Nao Ok,50000,0.3198
100,400,Nao Ok,60000,0.4341
100,500,Nao Ok,70000,0.4775
100,600,Nao Ok,80000,0.5740
100,700,Nao Ok,90000,0.6488
100,800,Nao Ok,100000,0.7241
100,900,Nao Ok,110000,1.0425
100,1000,Nao Ok,120000,1.0308
100,1100,Nao Ok,130000,1.0070
100,1200,Nao Ok,140000,1.7065
100,1300,Nao Ok,150000,2.1043
100,1400,Nao Ok,160000,1.2766
100,1500,Nao Ok,170000,1.2428
100,1600,Nao Ok,180000,1.5976
100,1700,Nao Ok,190000,1.5353
100,1800,Nao Ok,200000,2.0185
100,1900,Nao Ok,210000,1.6809
100,2000,Nao Ok,220000,1.9578
100,2100,Nao Ok,230000,3.5264
100,2200,Nao Ok,240000,2.4315
100,2300,Nao Ok,250000,1.9597
100,2400,Ok,260000,3.0634
100,2500,Nao Ok,270000,2.9733
100,2600,Ok,280000,2.4013
100,2700,Ok,290000,2.3041
100,2800,Ok,300000,3.1300
100,2900,Ok,310000,2.6496
200,100,Nao Ok,40000,0.3056
200,200,Nao Ok,60000,0.4476
200,300,Nao Ok,80000,1.0012
200,400,Nao Ok,100000,0.9665
200,500,Nao Ok,120000,1.2268
200,600,Nao Ok,140000,1.2580
200,700,Nao Ok,160000,1.2418
200,800,Nao Ok,180000,1.8525
200,900,Nao Ok,200000,1.7469
200,1000,Nao Ok,220000,1.9506
200,1100,Nao Ok,240000,2.1714
200,1200,Nao Ok,260000,2.6383
200,1300,Nao Ok,280000,2.3903
200,1400,Nao Ok,300000,2.6739
300,100,Nao Ok,50000,0.3312
300,200,Nao Ok,80000,0.6672
300,300,Nao Ok,110000,0.7688
300,400,Nao Ok,140000,1.4706
300,500,Nao Ok,170000,1.6370
300,600,Nao Ok,200000,1.4886
300,700,Nao Ok,230000,2.2981
300,800,Nao Ok,260000,2.6993
300,900,Nao Ok,290000,3.4076
400,100,Nao Ok,60000,0.9030
400,200,Nao Ok,100000,0.8571
400,300,Nao Ok,140000,1.2834
400,400,Nao Ok,180000,1.6576
400,500,Nao Ok,220000,1.8995
400,600,Nao Ok,260000,2.1982
400,700,Nao Ok,300000,2.2286
500,100,Nao Ok,70000,0.4296
500,200,Nao Ok,120000,1.1653
500,300,Nao Ok,170000,1.0471
500,400,Nao Ok,220000,1.3835
500,500,Nao Ok,270000,1.7417
600,100,Nao Ok,80000,0.4615
600,200,Nao Ok,140000,1.1293
600,300,Nao Ok,200000,1.3338
600,400,Nao Ok,260000,1.5796
700,100,Nao Ok,90000,0.4953
700,200,Nao Ok,160000,1.1430
700,300,Nao Ok,230000,1.7011
700,400,Nao Ok,300000,3.2065
800,100,Nao Ok,100000,2.0591
800,200,Nao Ok,180000,1.8420
800,300,Nao Ok,260000,1.9504
900,100,Nao Ok,110000,0.7426
900,200,Nao Ok,200000,1.4970
900,300,Nao Ok,290000,2.0119
1000,100,Nao Ok,120000,0.7846
1000,200,Nao Ok,220000,1.3384
1100,100,Nao Ok,130000,0.8043
1100,200,Nao Ok,240000,1.9296
1200,100,Nao Ok,140000,1.0289
1200,200,Nao Ok,260000,1.8815
1300,100,Nao Ok,150000,0.9812
1300,200,Nao Ok,280000,2.0509
1400,100,Nao Ok,160000,0.9793
1400,200,Nao Ok,300000,2.0257
1500,100,Nao Ok,170000,1.3447
1600,100,Nao Ok,180000,1.1671
1700,100,Nao Ok,190000,1.3799
1800,100,Nao Ok,200000,1.2933
1900,100,Nao Ok,210000,1.8520
2000,100,Nao Ok,220000,2.0985
2100,100,Nao Ok,230000,1.8281
2200,100,Nao Ok,240000,1.6261
2300,100,Nao Ok,250000,1.9188
2400,100,Nao Ok,260000,2.0994
2500,100,Nao Ok,270000,2.2714
2600,100,Nao Ok,280000,2.2205
2700,100,Nao Ok,290000,2.6849
2800,100,Nao Ok,300000,1.8830
2900,100,Nao Ok,310000,2.1803
