identifier,tm_arrival,tm_service1,tm_service2,tm_arrival_queue1,tm_start_service1,tm_end_service1,tm_arrival_queue2,tm_start_service2,tm_end_service2
1, 7.961503, 1.592301, 0.202649, 7.961503, 7.961503, 9.553803, 9.553803, 11.066527, 11.269176
2, 8.974745, 1.512724, 0.908447, 8.974745, 9.553803, 11.066527, 11.066527, 11.269176, 12.177623
3, 16.538366, 0.590289, 0.105333, 16.538366, 16.538366, 17.128655, 17.128655, 17.128655, 17.233987
4, 21.080601, 0.614796, 0.406028, 21.080601, 21.080601, 21.695397, 21.695397, 21.695397, 22.101425
5, 24.032045, 0.154162, 1.052364, 24.032045, 24.032045, 24.186207, 24.186207, 24.186207, 25.296636
6, 24.558708, 0.058065, 1.280130, 24.558708, 24.558708, 24.616773, 24.616773, 25.296636, 26.576765
7, 27.632689, 2.789576, 0.000779, 27.632689, 27.632689, 30.422264, 30.422264, 36.757162, 36.757941
8, 29.662830, 4.855115, 0.960978, 29.662830, 30.422264, 35.277379, 35.277379, 36.757941, 37.718920
9, 30.433639, 0.945856, 0.007091, 30.433639, 35.277379, 36.223236, 36.223236, 37.718920, 37.726011
10, 35.695459, 0.023333, 0.743966, 35.695459, 36.223236, 36.246568, 36.246568, 37.726011, 38.469977
11, 35.985785, 0.510594, 0.047790, 35.985785, 36.246568, 36.757162, 36.757162, 38.469977, 38.517767
12, 42.386433, 3.640300, 0.264970, 42.386433, 42.386433, 46.026733, 46.026733, 46.026733, 46.291703
13, 56.334311, 0.094977, 0.963346, 56.334311, 56.334311, 56.429289, 56.429289, 56.911303, 57.874649
14, 56.338207, 0.482015, 4.088217, 56.338207, 56.429289, 56.911303, 56.911303, 57.874649, 61.962866
15, 80.613783, 0.628789, 1.965687, 80.613783, 80.613783, 81.242572, 81.242572, 81.242572, 83.208259
16, 85.418674, 1.140396, 0.598745, 85.418674, 85.418674, 86.559070, 86.559070, 86.559070, 87.157815
17, 90.147957, 0.013354, 2.850797, 90.147957, 90.147957, 90.161310, 90.161310, 90.161310, 93.856684
18, 90.183413, 0.828482, 0.486810, 90.183413, 90.183413, 91.011895, 91.011895, 93.856684, 94.619282
19, 90.300076, 0.016095, 0.262526, 90.300076, 91.011895, 91.027990, 91.027990, 94.619282, 94.881808
20, 94.019907, 0.275787, 1.149685, 94.019907, 94.019907, 94.295694, 94.295694, 94.881808, 96.031493
21, 96.572877, 0.941600, 1.790929, 96.572877, 96.572877, 97.514477, 97.514477, 97.704868, 99.495798
22, 96.811825, 0.190392, 0.496037, 96.811825, 97.514477, 97.704868, 97.704868, 99.495798, 99.991834
23, 115.013323, 0.201182, 1.407973, 115.013323, 115.013323, 115.214505, 115.214505, 115.214505, 118.014771
24, 116.338175, 0.553656, 0.233120, 116.338175, 116.338175, 116.891832, 116.891832, 118.014771, 118.247891
25, 116.813062, 0.838636, 0.031814, 116.813062, 116.891832, 117.730468, 117.730468, 118.247891, 118.279705
26, 121.629790, 1.846964, 0.597390, 121.629790, 121.629790, 123.476755, 123.476755, 123.476755, 124.576920
27, 124.039864, 0.502775, 2.612634, 124.039864, 124.039864, 124.542639, 124.542639, 124.576920, 127.189553
28, 144.480946, 1.299280, 0.395328, 144.480946, 144.480946, 145.780227, 145.780227, 145.780227, 146.175554
29, 147.624892, 0.845003, 0.735709, 147.624892, 147.624892, 148.469895, 148.469895, 148.469895, 149.205604
30, 157.453328, 3.248614, 1.861327, 157.453328, 157.453328, 160.701943, 160.701943, 160.701943, 162.563270
31, 163.155307, 1.375632, 0.775860, 163.155307, 163.155307, 164.530939, 164.530939, 164.530939, 165.306799
32, 166.149033, 0.883705, 3.359729, 166.149033, 166.149033, 167.032738, 167.032738, 167.966771, 171.326500
33, 166.215802, 0.934033, 0.322963, 166.215802, 167.032738, 167.966771, 167.966771, 171.326500, 171.649462
34, 180.469786, 0.351366, 0.180643, 180.469786, 180.469786, 180.821151, 180.821151, 180.821151, 181.001795
