identifier,tm_arrival,tm_service1,tm_service2,tm_arrival_queue1,tm_start_service1,tm_end_service1,tm_arrival_queue2,tm_start_service2,tm_end_service2
1, 3.311599, 1.009460, 0.034946, 3.311599, 3.311599, 4.321059, 4.321059, 6.025408, 6.060354
2, 3.664863, 1.704349, 0.021963, 3.664863, 4.321059, 6.025408, 6.025408, 6.060354, 6.082317
3, 7.016352, 0.542708, 0.162099, 7.016352, 7.016352, 7.559060, 7.559060, 7.559060, 7.721159
4, 10.220943, 2.650704, 1.806353, 10.220943, 10.220943, 12.871647, 12.871647, 19.830966, 21.637319
5, 11.840598, 1.624728, 0.156886, 11.840598, 12.871647, 14.496375, 14.496375, 21.637319, 21.794205
6, 12.844428, 3.798159, 1.285380, 12.844428, 14.496375, 18.294534, 18.294534, 21.794205, 28.334222
7, 13.292304, 0.857852, 1.469176, 13.292304, 18.294534, 19.152386, 19.152386, 28.334222, 29.803398
8, 17.273387, 0.642361, 0.205831, 17.273387, 19.152386, 19.794747, 19.794747, 29.803398, 30.009229
9, 19.110322, 0.036218, 0.816527, 19.110322, 19.794747, 19.830966, 19.830966, 30.009229, 34.342387
10, 22.655949, 1.827733, 0.296078, 22.655949, 22.655949, 24.483681, 24.483681, 34.342387, 34.638466
11, 22.825098, 0.160333, 0.070374, 22.825098, 24.483681, 24.644014, 24.644014, 34.638466, 34.708840
12, 23.325190, 3.266571, 0.456555, 23.325190, 24.644014, 27.910585, 27.910585, 34.708840, 35.346328
13, 30.201057, 2.239365, 0.755448, 30.201057, 30.201057, 32.440422, 32.440422, 35.346328, 36.101776
14, 32.162062, 0.927373, 0.895641, 32.162062, 32.440422, 33.367795, 33.367795, 36.101776, 40.998621
15, 33.850755, 0.349893, 2.604518, 33.850755, 33.850755, 34.200649, 34.200649, 40.998621, 43.603139
16, 35.094911, 0.180933, 0.328082, 35.094911, 35.094911, 35.275843, 35.275843, 43.603139, 43.931221
17, 36.298282, 1.710987, 0.674466, 36.298282, 36.298282, 38.009270, 38.009270, 43.931221, 44.680745
