identifier,tm_arrival,tm_service1,tm_service2,tm_arrival_queue1,tm_start_service1,tm_end_service1,tm_arrival_queue2,tm_start_service2,tm_end_service2
1, 1.274158, 1.991550, 0.379587, 1.274158, 1.274158, 3.265708, 3.265708, 3.265708, 3.645295
2, 4.498043, 1.607330, 3.456960, 4.498043, 4.498043, 6.105373, 6.105373, 11.097136, 15.589374
3, 4.817309, 2.434623, 0.880166, 4.817309, 6.105373, 8.539996, 8.539996, 15.589374, 16.469541
4, 5.822104, 0.566206, 0.190812, 5.822104, 8.539996, 9.106202, 9.106202, 16.469541, 16.660353
5, 7.164391, 1.777555, 0.406836, 7.164391, 9.106202, 10.883758, 10.883758, 16.660353, 17.067189
6, 7.459055, 0.213378, 0.494170, 7.459055, 10.883758, 11.097136, 11.097136, 17.067189, 17.561358
7, 12.658605, 1.035278, 1.467205, 12.658605, 12.658605, 13.693883, 13.693883, 17.561358, 19.992485
8, 17.745630, 0.783997, 1.299589, 17.745630, 17.745630, 18.529627, 18.529627, 19.992485, 21.620505
9, 18.858662, 0.179925, 3.850130, 18.858662, 18.858662, 19.038588, 19.038588, 21.620505, 25.470635
10, 20.081461, 0.328431, 5.698859, 20.081461, 20.081461, 20.409892, 20.409892, 25.470635, 31.807618
11, 26.499424, 0.049036, 0.052629, 26.499424, 26.499424, 26.548460, 26.548460, 31.807618, 31.860246
12, 29.668102, 0.589088, 0.321999, 29.668102, 29.668102, 30.257190, 30.257190, 31.860246, 34.004499
13, 31.978500, 1.822254, 0.123653, 31.978500, 31.978500, 33.800754, 33.800754, 34.004499, 34.128152
14, 35.298664, 0.856771, 0.187254, 35.298664, 35.298664, 36.155435, 36.155435, 36.155435, 36.930169
15, 36.229103, 0.587480, 0.101575, 36.229103, 36.229103, 36.816583, 36.816583, 36.930169, 37.031744
16, 37.901955, 1.079155, 1.100646, 37.901955, 37.901955, 38.981111, 38.981111, 38.981111, 42.542983
17, 39.072723, 0.841934, 0.371784, 39.072723, 39.072723, 39.914657, 39.914657, 42.542983, 42.914767
18, 39.286439, 1.574717, 0.910856, 39.286439, 39.914657, 41.489374, 41.489374, 42.914767, 43.825623
19, 41.323111, 0.044576, 0.742478, 41.323111, 41.489374, 41.533950, 41.533950, 43.825623, 44.568101
20, 46.349020, 1.009661, 1.606076, 46.349020, 46.349020, 47.358681, 47.358681, 59.368683, 61.685020
21, 46.471329, 0.717455, 0.243926, 46.471329, 47.358681, 48.076136, 48.076136, 61.685020, 61.928947
22, 47.067241, 0.901287, 1.727687, 47.067241, 48.076136, 48.977423, 48.977423, 61.928947, 64.004910
23, 48.157971, 1.531258, 0.345668, 48.157971, 48.977423, 50.508681, 50.508681, 64.004910, 64.350577
24, 48.849548, 0.201602, 0.117944, 48.849548, 50.508681, 50.710283, 50.710283, 64.350577, 64.468522
25, 49.123051, 0.258314, 0.354127, 49.123051, 50.710283, 50.968597, 50.968597, 64.468522, 64.822649
26, 49.126469, 6.775804, 2.047741, 49.126469, 50.968597, 57.744401, 57.744401, 64.822649, 66.964655
27, 49.789900, 0.480187, 1.109102, 49.789900, 57.744401, 58.224588, 58.224588, 66.964655, 69.809873
28, 51.027442, 0.679116, 2.746000, 51.027442, 58.224588, 58.903704, 58.903704, 69.809873, 83.017508
29, 56.970948, 0.464979, 0.269897, 56.970948, 58.903704, 59.368683, 59.368683, 83.017508, 83.287405
30, 59.851405, 0.330748, 0.136740, 59.851405, 59.851405, 60.182154, 60.182154, 83.287405, 85.220278
31, 60.284339, 0.029963, 0.126644, 60.284339, 60.284339, 60.314302, 60.314302, 85.220278, 85.346922
32, 60.377362, 0.349550, 2.051093, 60.377362, 60.377362, 60.726912, 60.726912, 85.346922, 87.398015
33, 63.131982, 0.348276, 2.199457, 63.131982, 63.131982, 63.480258, 63.480258, 87.398015, 89.597472
34, 65.233614, 0.094265, 0.321602, 65.233614, 65.233614, 65.327879, 65.327879, 89.597472, 89.919074
35, 67.831770, 0.914247, 2.119926, 67.831770, 67.831770, 68.746017, 68.746017, 89.919074, 92.825912
36, 68.863685, 0.821868, 0.856874, 68.863685, 68.863685, 69.685553, 69.685553, 92.825912, 103.506110
37, 70.675866, 1.867384, 0.044107, 70.675866, 70.675866, 72.543250, 72.543250, 103.506110, 103.550217
38, 74.275249, 7.817967, 0.278656, 74.275249, 74.275249, 82.093216, 82.093216, 103.550217, 103.828873
39, 77.297275, 0.412262, 0.341891, 77.297275, 82.093216, 82.505478, 82.505478, 103.828873, 104.170764
40, 82.049676, 0.364022, 0.214775, 82.049676, 82.505478, 82.869500, 82.869500, 104.170764, 104.385540
41, 83.401553, 1.796133, 0.517510, 83.401553, 83.401553, 85.197687, 85.197687, 104.385540, 104.903050
42, 91.456369, 0.786912, 0.764775, 91.456369, 91.456369, 92.243281, 92.243281, 104.903050, 105.667825
43, 92.912121, 1.595237, 0.213283, 92.912121, 92.912121, 94.507358, 94.507358, 105.667825, 105.881107
44, 93.395400, 2.072773, 0.144130, 93.395400, 94.507358, 96.580131, 96.580131, 105.881107, 106.025237
45, 95.466991, 0.579868, 0.420502, 95.466991, 96.580131, 97.159998, 97.159998, 106.025237, 106.445740
46, 97.088220, 0.655059, 0.509130, 97.088220, 97.159998, 97.815057, 97.815057, 106.445740, 106.988021
47, 97.499089, 1.928544, 0.525169, 97.499089, 97.815057, 99.743600, 99.743600, 106.988021, 108.458468
48, 99.062233, 0.897177, 0.494922, 99.062233, 99.743600, 100.640777, 100.640777, 108.458468, 109.079883
49, 99.263535, 1.712712, 1.398984, 99.263535, 100.640777, 102.353489, 102.353489, 109.079883, 110.478867
50, 101.837083, 0.381956, 0.316512, 101.837083, 102.353489, 102.735445, 102.735445, 110.478867, 110.795379
51, 106.879911, 0.033151, 0.839274, 106.879911, 106.879911, 106.913063, 106.913063, 110.795379, 111.634653
