identifier,tm_arrival,tm_service1,tm_service2,tm_arrival_queue1,tm_start_service1,tm_end_service1,tm_arrival_queue2,tm_start_service2,tm_end_service2
1, 23.490900, 5.872725, 2.696478, 23.490900, 23.490900, 29.363624, 29.363624, 29.363624, 32.060102
2, 34.276811, 0.137109, 6.949114, 34.276811, 34.276811, 34.413920, 34.413920, 34.413920, 41.632338
3, 34.825245, 0.269304, 0.505143, 34.825245, 34.825245, 35.094549, 35.094549, 41.632338, 42.137481
4, 62.621703, 0.490877, 1.107893, 62.621703, 62.621703, 63.112580, 63.112580, 63.112580, 67.337988
5, 63.698919, 2.741696, 1.872824, 63.698919, 63.698919, 66.440615, 66.440615, 67.337988, 69.796816
6, 65.719491, 0.375819, 0.743490, 65.719491, 66.440615, 66.816434, 66.816434, 69.796816, 70.540305
7, 67.682999, 0.586003, 0.260816, 67.682999, 67.682999, 68.269003, 68.269003, 70.540305, 70.801121
8, 72.114573, 0.764458, 2.452966, 72.114573, 72.114573, 72.879031, 72.879031, 72.879031, 75.331997
9, 83.081357, 0.611023, 0.563345, 83.081357, 83.081357, 83.692380, 83.692380, 83.692380, 84.255725
10, 90.572651, 2.798979, 1.506833, 90.572651, 90.572651, 93.371630, 93.371630, 94.630307, 96.234533
11, 92.075928, 1.258677, 1.623321, 92.075928, 93.371630, 94.630307, 94.630307, 96.234533, 101.691182
12, 95.049887, 0.097393, 0.730128, 95.049887, 95.049887, 95.147280, 95.147280, 101.691182, 102.421310
13, 97.393901, 2.002630, 1.766951, 97.393901, 97.393901, 99.396531, 99.396531, 102.421310, 104.188261
14, 98.437164, 1.769626, 0.318898, 98.437164, 99.396531, 101.166158, 101.166158, 104.188261, 104.507158
15, 101.494997, 0.061071, 1.110264, 101.494997, 101.494997, 101.556068, 101.556068, 104.507158, 105.617423
16, 111.306863, 0.899103, 1.113688, 111.306863, 111.306863, 112.205966, 112.205966, 112.205966, 113.319654
17, 113.750956, 0.530668, 0.220087, 113.750956, 113.750956, 114.281624, 114.281624, 114.281624, 114.501710
18, 116.004337, 0.341969, 0.153291, 116.004337, 116.004337, 116.346306, 116.346306, 116.346306, 116.499597
19, 127.200251, 1.529308, 0.531945, 127.200251, 127.200251, 128.729559, 128.729559, 128.729559, 129.261505
20, 133.227582, 0.034769, 0.978246, 133.227582, 133.227582, 133.262351, 133.262351, 133.262351, 134.240597
21, 138.262291, 1.080681, 0.354528, 138.262291, 138.262291, 139.342972, 139.342972, 139.342972, 139.697500
