identifier,tm_arrival,tm_service1,tm_service2,tm_arrival_queue1,tm_start_service1,tm_end_service1,tm_arrival_queue2,tm_start_service2,tm_end_service2
1, 5.872725, 2.696478, 0.137109, 5.872725, 5.872725, 8.569203, 8.569203, 8.569203, 8.706311
2, 12.821839, 0.269304, 0.505143, 12.821839, 12.821839, 13.091143, 13.091143, 13.091143, 14.704180
3, 13.312716, 1.107893, 2.741696, 13.312716, 13.312716, 14.420610, 14.420610, 14.704180, 18.082511
4, 15.185540, 0.375819, 0.743490, 15.185540, 15.185540, 15.561359, 15.561359, 18.082511, 19.437024
5, 15.771544, 0.260816, 0.764458, 15.771544, 15.771544, 16.032359, 16.032359, 19.437024, 20.201482
6, 18.224510, 0.611023, 0.563345, 18.224510, 18.224510, 18.835533, 18.835533, 20.201482, 20.764827
7, 21.023489, 1.506833, 1.258677, 21.023489, 21.023489, 22.530321, 22.530321, 22.530321, 23.886392
8, 22.646810, 0.097393, 0.730128, 22.646810, 22.646810, 22.744203, 22.744203, 23.886392, 24.616520
9, 24.649440, 1.766951, 1.769626, 24.649440, 24.649440, 26.416392, 26.416392, 28.465064, 32.411695
10, 24.968338, 0.061071, 1.110264, 24.968338, 26.416392, 26.477462, 26.477462, 32.411695, 37.071836
